classification	filename	path
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	HOMEMADE HANGOUT-Instrumental-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/HOMEMADE HANGOUT-Instrumental-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	CLEAN SWEEP-Instrumental-Ac Gtr-El Gtr-Orgn-El Bass-Drum-Ghst Vocal 104-124_210-230___258-325-.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/CLEAN SWEEP-Instrumental-Ac Gtr-El Gtr-Orgn-El Bass-Drum-Ghst Vocal 104-124_210-230___258-325-.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	CLEAN SWEEP-fullmix-F-Ac Gtr-El Gtr-Orgn-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/CLEAN SWEEP-fullmix-F-Ac Gtr-El Gtr-Orgn-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	HIT REWIND-fullmix-M-Ac Gtr-El Gtr-Piano-El Bass-Keybrd.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/HIT REWIND-fullmix-M-Ac Gtr-El Gtr-Piano-El Bass-Keybrd.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	HOMEMADE HANGOUT-fullmix-M-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/HOMEMADE HANGOUT-fullmix-M-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	CLEAN SWEEP-FULLMIX-F-long intro-Ac Gtr-El Gtr-Orgn-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/CLEAN SWEEP-FULLMIX-F-long intro-Ac Gtr-El Gtr-Orgn-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	COME DANCE-fullmix-M-Ac Gtr-Stl Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/COME DANCE-fullmix-M-Ac Gtr-Stl Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	CLAWS -Instrumental-F-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/CLAWS -Instrumental-F-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	BE TRUSTWORTHY-fullmix-F-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/BE TRUSTWORTHY-fullmix-F-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	BE TRUSTWORTHY-instrumental-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/BE TRUSTWORTHY-instrumental-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	A Woman Knows--instrumental-Piano-Stl Gtr-El Bass-Strings-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/A Woman Knows--instrumental-Piano-Stl Gtr-El Bass-Strings-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	DON'T CALL IT LOVE-Instrumental-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/DON'T CALL IT LOVE-Instrumental-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	GET A CLUE-Instrumental-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/GET A CLUE-Instrumental-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	DON'T CALL IT LOVE-fullmix-M-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/DON'T CALL IT LOVE-fullmix-M-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	LIFE'S A TEST-fullmix-Ac Gtr-El Bass-Stl Gtr-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/LIFE'S A TEST-fullmix-Ac Gtr-El Bass-Stl Gtr-Drum.wav
