batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason
11	gpm_stl.csv	64057475	ANOTHER DANCE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Reed	Sexy Swagger	0:03:18	87.0	Singer/Songwriter Rock Indie Folk	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
12	gpm_stl.csv	64057483	SWEETER THAN MINE - INSTRO	SWEETER THAN MINE - INSTRO	G Putnam Music	Pretty Pop	0:02:53	168.0	Indie	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
13	gpm_stl.csv	64057722	TIME'S PRESENT - Indie Pop - Teen	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amanda Blake	Change Me	0:02:41	124.0	Indie Pop	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
14	gpm_stl.csv	64059291	THAT'S A HAVE-TO	THAT'S A HAVE-TO	Jade Lotzow	Female	0:03:35	94.0	Pop, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
15	gpm_stl.csv	64059503	ESTOY BIEN - INSTRO	ESTOY BIEN - INSTRO	G Putnam Music	TV/Film	0:03:30	113.0	Cinema, Indie	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
16	gpm_stl.csv	64059506	COME BACK-COME BACK - INSTRO	COME BACK-COME BACK - INSTRO	G Putnam Music	Rock till We Drop	0:03:00	99.0	Rock	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
17	gpm_stl.csv	64059509	C0RNFIELD - INSTRO	C0RNFIELD - INSTRO	G Putnam Music	BUSTING OUT	0:03:07	100.0	Americana	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
18	gpm_stl.csv	64059511	CLAWS - INSTRO	CLAWS - INSTRO	G Putnam Music	Sweet as Sexy	0:03:37	93.0	Indie Rock	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
19	gpm_stl.csv	64059521	INTO THE LIGHT - INSTRO	INTO THE LIGHT - INSTRO	G Putnam Music	Synth Nymph	0:02:12	95.0	Indie	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
20	gpm_stl.csv	64059708	SANDMAN'S COMIN' - INSTRO	SANDMAN'S COMIN' - INSTRO	G Putnam Music	Busting Out	0:02:46	90.0	Sync Rock	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
21	gpm_stl.csv	64059726	CHANGE ME	CHANGE ME	Chris Krause	Change Me	0:03:32	88.0	Folk, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
22	gpm_stl.csv	64059751	SAYING GOODBYE - Rec'd 1988 - East Houston	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amanda Johnson	Vintage	0:02:52	88.0	1989 ROCK/COUNTRY	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
23	gpm_stl.csv	64059752	FEARLESS - Rec'd 1988 - East Houston	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amanda Johnson	TV/Film	0:03:34	128.0	PERIOD	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
24	gpm_stl.csv	64059773	KENTUCKY IN HER HEART	KENTUCKY IN HER HEART	Alex Fehr	Subtly Simple	0:03:26	150.0	Indie, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
25	gpm_stl.csv	64059774	EVEN IF I TRIED - M	EVEN IF I TRIED - M	Alex Fehr	Sexy Swagger	0:02:28	84.0	Singer Songwriter	YES		BATCH_CLEAN_PENDING_REVIEW	
26	gpm_stl.csv	64066851	The Cemetery Stomp	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	HALLOWEEN	0:02:15	82.0	Holiday, Youth	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
27	gpm_stl.csv	68309589	HOUSE OF THE RISING SUN - The Animals COVER	HOUSE OF THE RISING SUN - The Animals COVER	Cindy Youngren	COVER	0:03:09	84.0	Reimagined COVER	YES		BATCH_CLEAN_PENDING_REVIEW	
28	gpm_stl.csv	68345674	MUSTA BEEN - INSTRO	MUSTA BEEN - INSTRO	G Putnam Music	Synth Nymph	0:02:51	72.0	Sync Indie Pop	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
29	gpm_stl.csv	68563938	C'MON  COOL - INSTRO	C'MON  COOL - INSTRO	G Putnam Music	Clubbin'	0:02:54	141.0	Swing	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
30	gpm_stl.csv	68836572	MAYBE TONIGHT - 60s - LOFI	MAYBE TONIGHT - 60s - LOFI	Zach Jackson	Classic Rock	0:02:18	154.0	60's Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
31	gpm_stl.csv	68836598	I DO SWEAR	I DO SWEAR	Zach Jackson	Countin’ On Countin’ On	0:03:07	95.0	Indie	YES		BATCH_CLEAN_PENDING_REVIEW	
32	gpm_stl.csv	68836687	MAYBE TONIGHT - ELV-ISH	MAYBE TONIGHT - ELV-ISH	Zach Jackson	Classic	0:02:18	154.0	Vintage, Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
33	gpm_stl.csv	68876863	IT MUST HAVE BEEN LOVE - COVER	IT MUST HAVE BEEN LOVE - COVER	G Putnam Music	COVER	0:02:51	72.0	Reimagined COVER	YES		BATCH_CLEAN_PENDING_REVIEW	
34	gpm_stl.csv	69008710	OPEN ROAD	OPEN ROAD	G Putnam Music	Cowboy Country	0:03:01	117.0	Pop, Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
35	gpm_stl.csv	69008730	TOUGH PEOPLE DO	TOUGH PEOPLE DO	KLEIGH	Dealin’ Feelin'	0:03:50	135.0	Folk/Country	YES		BATCH_CLEAN_PENDING_REVIEW	
36	gpm_stl.csv	69167937	BEIN' HER MAN	BEIN' HER MAN	Zach Jackson	Dealin' Feelin'	0:03:29	110.0	AC	YES		BATCH_CLEAN_PENDING_REVIEW	
37	gpm_stl.csv	69167992	YOU AIN'T SAYIN'	YOU AIN'T SAYIN'	Kris Bradley	Growing Stronger	0:04:03	88.0	Country, Pop	YES		BATCH_CLEAN_PENDING_REVIEW	
38	gpm_stl.csv	69167999	IN THE END	IN THE END	Aaron Lotzow	Comin’ Through	0:03:30	88.0	Country, Folk	YES		BATCH_CLEAN_PENDING_REVIEW	
39	gpm_stl.csv	69168014	MIDNIGHT RIDER - Allman Bros COVER	MIDNIGHT RIDER - Allman Bros COVER	Cindy Youngren	Synth Nymph	0:02:27	126.0	Dark REIMAGINED Cover	YES		BATCH_CLEAN_PENDING_REVIEW	
40	gpm_stl.csv	69168036	REMEMBER A TIME - INSTRO	REMEMBER A TIME - INSTRO	G Putnam Music	Rembering Forgetting	0:03:39	96.0	Vintage Acoustic	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
41	gpm_stl.csv	69168047	REMEMBER A TIME	REMEMBER A TIME	Patrik J Sheridan	Vintage	0:03:09	96.0	Folk, Indie	YES		BATCH_CLEAN_PENDING_REVIEW	
42	gpm_stl.csv	69168053	SOMETIMES	SOMETIMES	Billy Harper	Change Me	0:03:30	92.0	Rock, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
43	gpm_stl.csv	69168056	SOMEWHERE INSIDE	SOMEWHERE INSIDE	Cindy Youngren	Clearly	0:03:59	69.0	Pop, Indie	YES		BATCH_CLEAN_PENDING_REVIEW	
44	gpm_stl.csv	69168061	SWEET TENNESSEE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	TRAD COUNTRY - MALE	0:03:52	78.0	Traditional Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
45	gpm_stl.csv	69168066	THERE IS HERE	THERE IS HERE	Chris Krause	Cowboy Country	0:03:03	102.0	Americana	YES		BATCH_CLEAN_PENDING_REVIEW	
46	gpm_stl.csv	69169419	C'MON CHRISTMAS!	C'MON CHRISTMAS!	G Putnam Music	Christmas	0:02:54	141.0	Christmas, Cinematic, Film	YES		BATCH_CLEAN_PENDING_REVIEW	
47	gpm_stl.csv	69206210	FEEL FREE	FEEL FREE	Ashleigh Brucker	An Ash Bash	0:03:27	114.0	Pop, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
48	gpm_stl.csv	69206292	GIVE ME A KISS - Ash	GIVE ME A KISS - Ash	Ashleigh Brucker	Sassy Sweet	0:03:37	72.0	Singer-Songwriter, Rock, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
49	gpm_stl.csv	69206458	IMAGINE IF	IMAGINE IF	Alex Wahlbert	Growing Stronger	0:03:27	61.0	Singer/Songwriter, FOLK	YES		BATCH_CLEAN_PENDING_REVIEW	
50	gpm_stl.csv	69206646	KEEPIN' IT COUNTRY	KEEPIN' IT COUNTRY	Elle Christine	Elle’s Bells	0:03:13	122.0	Americana, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
51	gpm_stl.csv	69207118	NEVER BEEN	NEVER BEEN	G Putnam Music	Sexy Swagger	0:03:20	127.0	Alt Rock, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
52	gpm_stl.csv	69207232	NEVER KNEW	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Brandon Howard	Cowboy Country	0:03:24	124.0	Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
53	gpm_stl.csv	69207261	LIFE NEW	LIFE NEW	Anjanel Folkens	Change Me	0:03:36	84.0	Rock, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
54	gpm_stl.csv	69207383	PAWN SHOP	PAWN SHOP	Elle Christine	Clearly	0:03:16	84.0	Country/Pop	YES		BATCH_CLEAN_PENDING_REVIEW	
55	gpm_stl.csv	69207533	GOT ME SMOKIN' - '24	GOT ME SMOKIN' - '24	Lilli O'Dowd	Lovin' with Lilli	0:03:24	138.0	Pop, Indie	YES		BATCH_CLEAN_PENDING_REVIEW	
56	gpm_stl.csv	70130394	LEARNIN' LIFE - INSTRO	LEARNIN' LIFE - INSTRO	G Putnam Music	Dance Steady	0:03:28	85.0	Rock, Pop, Indie, Country, Blues, BVGs	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
57	gpm_stl.csv	70319514	NOTHING MEANS NOTHING - INSTRO	NOTHING MEANS NOTHING - INSTRO	G Putnam Music	Clubbin'	0:02:55	108.0	Upbeat Synth	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
58	gpm_stl.csv	71084622	CHASER  (NASCAR)	CHASER  (NASCAR)	NATU Visinia	Sexy Swagger	0:02:40	82.0	Country, Pop	YES		BATCH_CLEAN_PENDING_REVIEW	
59	gpm_stl.csv	71121598	TIME KEEPS ON MOVIN'	TIME KEEPS ON MOVIN'	Emily Hope	Clearly	0:02:50	79.0	Indie	YES		BATCH_CLEAN_PENDING_REVIEW	
60	gpm_stl.csv	71303470	HOME IS SUNNY - INSTRO ONLY	HOME IS SUNNY - INSTRO ONLY - INSTRO	G Putnam Music	Banjo	0:03:09	84.0	Film	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
61	gpm_stl.csv	71305650	MIDNIGHT HIRE - INSTRO	MIDNIGHT HIRE - INSTRO	G Putnam Music	Synth Nymph	0:02:27	63.0	Ambient	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
62	gpm_stl.csv	71352924	I LIVE FOR THIS - INSTRO	I LIVE FOR THIS - INSTRO	G Putnam Music	Desperate & Dirty	0:03:10	90.0	Americana	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
63	gpm_stl.csv	72435003	DARK CLOUD - 3 - SYNTH	DARK CLOUD - 3 - SYNTH	Olivia Joy	Subtly Simple	0:02:36	130.0	Indie	YES		BATCH_CLEAN_PENDING_REVIEW	
64	gpm_stl.csv	72435074	INTO THE LIGHT - Female	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Emily Hope	Countin’ On Countin’ On	0:02:12	95.0	Indie	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
65	gpm_stl.csv	72479226	SANDMAN'S COMIN'	SANDMAN'S COMIN'	Elliot Sedgwick	Sports of Sorts	0:02:46	89.0	Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
66	gpm_stl.csv	72565024	COME BACK - COME BACK - NATU	COME BACK - COME BACK - NATU	NATU Visinia	Change Me	0:03:00	99.0	Country, Pop	YES		BATCH_CLEAN_PENDING_REVIEW	
67	gpm_stl.csv	72657371	NOTHING COMPARES 2 U	NOTHING COMPARES 2 U	Sam Masini	COVER	0:02:55	108.0	REIMAGINED	YES		BATCH_CLEAN_PENDING_REVIEW	
68	gpm_stl.csv	72661952	GOIN' NOWHERE	GOIN' NOWHERE	Ashleigh Brucker	Change Me	0:03:14	142.0	Rock Blues	YES		BATCH_CLEAN_PENDING_REVIEW	
69	gpm_stl.csv	72663658	HAVE-TO - DUET	HAVE-TO - DUET	Aaron & Jade Lotzow	DUET	0:03:40	84.0	Mod Country	YES		BATCH_CLEAN_PENDING_REVIEW	
70	gpm_stl.csv	72663750	WORLD OF WORDS — DUET	WORLD OF WORDS — DUET	Sam Masini, Zach Jackson	DUET	0:03:12	76.0	Indie	YES		BATCH_CLEAN_PENDING_REVIEW	
71	gpm_stl.csv	73205191	I WANT YOU - 70s - Neil YoungISH	I WANT YOU - 70s - Neil YoungISH	Zach Jackson	Classic	0:03:00	125.0	70s Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
72	gpm_stl.csv	73263359	BELIEVE IN ME	BELIEVE IN ME	Chris Krause	Trad RICH n’ All	0:03:22	76.0	Country, MINIMAL, Story	YES		BATCH_CLEAN_PENDING_REVIEW	
73	gpm_stl.csv	73277502	SPARK THE FLAME	SPARK THE FLAME	Tyler Houk	Sexy Swagger	0:03:13	80.0	Country	YES		BATCH_CLEAN_PENDING_REVIEW	
74	gpm_stl.csv	73294620	HELLO MELLOW - INSTRO	HELLO MELLOW - INSTRO	Michael Scherer	Scherer Delight	0:03:34	130.0	HipHop R&B	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
75	gpm_stl.csv	73295720	CHANGE FOR THE BETTER - INSTRO	CHANGE FOR THE BETTER - INSTRO	Michael Scherer	He Has Jazz	0:04:49	98.0	FILM, CINEMATIC, R&B, Jazz	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
76	gpm_stl.csv	73381075	MY BABY LEFT ME - Female	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Katie Beste	Dealin’ Feelin'	0:03:46	80.0	Country	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
77	gpm_stl.csv	73416651	MY BABY LEFT ME - Male	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Zach Linley	Cowboy Country	0:03:38	71.0	Country-Rock/Blues	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
78	gpm_stl.csv	73598276	DARK CLOUD - 4	DARK CLOUD - 4	Olivia Joy	Growing Stronger	0:02:33	130.0	Electronic, Dance, Pop	YES		BATCH_CLEAN_PENDING_REVIEW	
79	gpm_stl.csv	73598281	DARK CLOUD - 4 - El Remix - INSTRO	DARK CLOUD - 4 - El Remix - INSTRO	G Putnam Music	Crawlin' Not Fallin'	0:02:33	130.0	Electronic, Dance, Pop	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
80	gpm_stl.csv	73701169	MAYBE TONIGHT - ROCK INSTRO	MAYBE TONIGHT - ROCK - INSTRO	G Putnam Music	Rock Till We Drop	0:03:19	154.0	Classic Rock	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
81	gpm_stl.csv	73701299	ESTOY BIEN	ESTOY BIEN	NATU Visinia	Festive	0:02:54	113.0	Indie Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
82	gpm_stl.csv	73847525	RIGHT HERE RIGHT NOW - COVER	RIGHT HERE RIGHT NOW - COVER	G Putnam Music	COVER	0:02:18	130.0	Reimagined	YES		BATCH_CLEAN_PENDING_REVIEW	
83	gpm_stl.csv	73875184	CAN'T GET IT OUT OF MY HEAD - ELO COVER	CAN'T GET IT OUT OF MY HEAD - ELO COVER	Cindy Youngren	COVER	0:03:02	78.0	Reimagined 90s ROCK	YES		BATCH_CLEAN_PENDING_REVIEW	
84	gpm_stl.csv	73907259	DARK CLOUD - 2 - Cello	DARK CLOUD - 2 - Cello	G Putnam Music	Soft Female Country	0:03:27	70.0	Alt Country	YES		BATCH_CLEAN_PENDING_REVIEW	
85	gpm_stl.csv	73928045	TOO SOON	TOO SOON	Cindy Youngren	Vintage 90s	0:02:46	93.0	Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
86	gpm_stl.csv	73971801	COOL - HUMOROUS	COOL - HUMOROUS	Anjanel Folkens	Trad RICH n’ All	0:03:06	141.0	Americana, Blues, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
87	gpm_stl.csv	73980318	HEART'S OFF BREAK - INSTRO	HEART'S OFF BREAK - INSTRO	G Putnam Music	Dance Steady	0:03:09	95.0	Soul, Pop	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
88	gpm_stl.csv	73997218	SAYIN' GOODBYE	SAYIN' GOODBYE	Ashleigh Brucker	An Ash Bash	0:03:25	88.0	Country	YES		BATCH_CLEAN_PENDING_REVIEW	
89	gpm_stl.csv	74053220	CHASER - INSTRO	CHASER - INSTRO	G Putnam Music	Sweet as Sexy	0:02:40	82.0	Rock, Pop	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
90	gpm_stl.csv	74170651	INTO THE LIGHT - DUO Harmonies	INTO THE LIGHT - DUO Harmonies	Emily Hope, Erik W Nelson	Crawling NOT Falling	0:02:12	95.0	Indie	YES		BATCH_CLEAN_PENDING_REVIEW	
91	gpm_stl.csv	74291994	CRUISIN' ALONG - INSTRO	CRUISIN' ALONG - INSTRO	Michael Scherer	Scherer Delight	0:02:42	123.0	CINEMATIC, FILM, Blues Piano	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
92	gpm_stl.csv	74361966	FRIGHT FLIGHT - INSTRO	FRIGHT FLIGHT - INSTRO	Michael Scherer	Scherer Desire	0:03:07	99.0	Hip Hop	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
93	gpm_stl.csv	74405498	LIGHT IT UP - INSTRO	LIGHT IT UP - INSTRO	Michael Scherer	Scherer Delight	0:03:38	98.0	HipHop, Electronic , BVGs	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
94	gpm_stl.csv	74594828	GROOVE ISN'T HARD - INSTRO	GROOVE ISN'T HARD - INSTRO	G Putnam Music	Remembering Forgetting	0:01:59	108.0	Reimagined COVER	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
95	gpm_stl.csv	75014508	RIDIN' CLOUD 10	RIDIN' CLOUD 10	NATU Visinia	NATU Ought To	0:02:58	81.0	Pop, Country	YES		BATCH_CLEAN_PENDING_REVIEW	
96	gpm_stl.csv	75958831	WAY DEEP	WAY DEEP	Billy Harper	Cowboy Country	0:03:16	123.0	Country	YES		BATCH_CLEAN_PENDING_REVIEW	
97	gpm_stl.csv	76135655	MY ROCK	MY ROCK	Zach Jackson	Clearly	0:03:40	76.0	Indie Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
98	gpm_stl.csv	76197222	RENEGADE - Rock - Sports/Life	RENEGADE - Rock - Sports/Life	Elliot Sedgwick	Sports of Sorts	0:02:24	68.0	Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
99	gpm_stl.csv	76659341	GIVE ME A KISS	GIVE ME A KISS	Cindy Youngren	Sassy Sweet	0:03:33	73.0	Retro Pop	YES		BATCH_CLEAN_PENDING_REVIEW	
100	gpm_stl.csv	77252390	CUTS THROUGH ICE -  INSTRO	CUTS THROUGH ICE - INSTRO	G Putnam Music	Synth Nymph	0:02:54	75.0	Haunting Soundscape	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
101	gpm_stl.csv	77252391	CUTS LIKE A KNIFE - BRYAN ADAMS COVER	CUTS LIKE A KNIFE - BRYAN ADAMS COVER	G Putnam Music	COVER	0:02:54	75.0	Reimagined 80s ROCK	YES		BATCH_CLEAN_PENDING_REVIEW	
102	gpm_stl.csv	77376011	BLAME SAME - NEO-PUNK	BLAME SAME - NEO-PUNK	Zack Jackson	Dealin' Feelin'	0:02:31	99.0	Punk Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
103	gpm_stl.csv	79323545	CRUSH ON CHRISTMAS	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Emily Hope	Christmas	0:02:56	159.0	AD, CINEMATIC, Christmas	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
104	gpm_stl.csv	79345356	OOPS! I DID IT AGAIN - COVER	OOPS! I DID IT AGAIN - COVER	G Putnam Music	COVER	0:02:36	80.0	Reimagined	YES		BATCH_CLEAN_PENDING_REVIEW	
105	gpm_stl.csv	79811236	I AM A FIGHTER - Liv - Indie	I AM A FIGHTER - Liv - Indie	Olivia Joy	Pretty Pop	0:03:14	120.0	Indie Pop/Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
106	gpm_stl.csv	79896283	RENEGADE - INSTRO	RENEGADE - INSTRO	G Putnam Music	Crashin’ NOT Fallin'	0:02:24	68.0	Rock	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
107	gpm_stl.csv	80362440	COME ON  OUT - Jingle for Outside at Home	COME ON  OUT - Jingle for Outside at Home	G Putnam Music	Jingle	0:01:34	168.0	Pop	YES		BATCH_CLEAN_PENDING_REVIEW	
108	gpm_stl.csv	80962200	THAT'S MY GIRL	THAT'S MY GIRL	NATU Visinia	NATU Ought To	0:02:48	92.0	Country Pop	YES		BATCH_CLEAN_PENDING_REVIEW	
109	gpm_stl.csv	80973568	MAKE THAT CLIMB	MAKE THAT CLIMB	NATU Visinia	NATU Ought To	0:03:09	129.0	Country Pop	YES		BATCH_CLEAN_PENDING_REVIEW	
110	gpm_stl.csv	81242052	WORLD TURNIN'	WORLD TURNIN'	NATU Visinia	NATU Ought To	0:03:27	144.0	Country Pop DEMO	YES		BATCH_CLEAN_PENDING_REVIEW	
111	gpm_stl.csv	81857951	YOUR TOUCH  - Sexy	YOUR TOUCH  - Sexy	G Putnam Music	Sassy Sweet	0:02:50	215.0	Indie	YES		BATCH_CLEAN_PENDING_REVIEW	
112	gpm_stl.csv	82040474	GOT ME SMOKIN' - INSTRO	GOT ME SMOKIN' - INSTRO	G Putnam Music	Sweet as Sexy	0:03:22	138.0	Indie Pop	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
113	gpm_stl.csv	82043654	MAYBE TONIGHT	MAYBE TONIGHT	G Putnam Music	80s/90s Root Rock	0:03:26	154.0	Classic Rock	YES		BATCH_CLEAN_PENDING_REVIEW	
