batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason
170	gpm_stl.csv	96021185	HAZY CRAZY	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Coming Through	0:02:43	134.0	Singer/Songwriter	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
174	gpm_stl.csv	99479227	MY EYES TELL IT ALL	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Sandy Sugar Smith	Turnin' Blue	0:04:50	161.0	Alt Blues	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
175	gpm_stl.csv	99482985	NO ONE'S HARD TO HOLD ONTO - Female	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amy Howard	Dealin’ Feelin'	0:03:42	149.0	Folk	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
205	gpm_stl.csv	104548959	I LIVE FREE - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Coming Through	0:02:31	130.0	Pop	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE
223	gpm_stl.csv	106875238	THE ONLY FOREVER	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Lloyd G Miller	Lloyd’s Void	0:04:06	75.0	Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
235	gpm_stl.csv	110595129	NOW-THAT'S TOUGH	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Zach Linley	Change Me	0:03:27	84.0	Banjo, Folk, Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
292	gpm_stl.csv	146291907	THE LAST CHANCE - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	TV/Film	0:04:10	148.0	Trance, Dance	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE
359	gpm_stl.csv	161322993	I'M COMING HOME - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Caught Off Guard	0:03:02	85.0	Cinematic	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE
396	gpm_stl.csv	162536992	RECOGNIZER - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Cinema	0:04:24	146.0	TV/Film, Indie	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE
400	gpm_stl.csv	163579851	My Eyes Tell It All	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Sandy Sugar Smith	Turnin’ Blue	0:04:52	82.0	Blues	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
417	gpm_stl.csv	167046256	Another Dance	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Reed	G Putnam Music	0:03:18		Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
419	gpm_stl.csv	167046511	Crush on Christmas	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Sam Masini	G Putnam Music	0:02:56		Christmas	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
423	gpm_stl.csv	167047376	Hazy Crazy	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	G Putnam Music	0:02:43		Indie Pop	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
424	gpm_stl.csv	167047380	HAZY CRAZY DbMaj 134bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:02:43			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
432	gpm_stl.csv	167047399	HIT REWIND-fullmix-M-Ac Gtr-El Gtr-Piano-El Bass-Keybrd	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:03			YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
441	gpm_stl.csv	167047450	IN THE BLEAK MIDWINTER - INSTRO - 77bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:41			YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
448	gpm_stl.csv	167047483	The Last Chance - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Thrilling Feeling	0:04:10	148.0	Cinema, TV/Film	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE
450	gpm_stl.csv	167047493	LOOKIN' FOR AN ANGEL - 79bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Zach Jackson	Change Me	0:03:21	78.0	Country, Singer-Songwriter	YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
462	gpm_stl.csv	167047544	Never Knew	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Brandon Howard	Cowboy Country	0:03:24	123.0	Mod Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
469	gpm_stl.csv	167047598	Now-That's Tough	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Zach Linley	G Putnam Music	0:03:27		Folk	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
473	gpm_stl.csv	167047664	The Only Forever	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Lloyd Miller	Lloyd’s Void	0:04:06	150.0	Singer Songwriter	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
480	gpm_stl.csv	167047685	PAST TENNESSEE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Simon Webb	Trad RICH n’ ALL	0:03:29	151.0	Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
485	gpm_stl.csv	167047851	RECOGNIZER - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Thrilling Feeling	0:04:24	146.0	TV/Film	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE
502	gpm_stl.csv	167188527	Sweet Tennessee	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Brandon-Emmy	TRAD Rich n' All	0:03:51		Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
506	gpm_stl.csv	167189069	This Puzzle INSTRO EbMaj 88bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Patrik Sheridan	Elle’s Bells	0:03:34	87.0	Country/AC	YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
525	gpm_stl.csv	168451096	Me In Love	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	KLEIGH	Go for the Heart	0:04:24	67.0	Singer/Songwriter	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
534	gpm_stl.csv	174339968	The Cemetery Stomp	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Eric W Nelson, Gregory D Putnam		0:02:15		KFS	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
535	gpm_stl.csv	174384327	ME IN LOVE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:53			YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
536	gpm_stl.csv	174385235	Kleigh - Live Free Amin 64BPM PIANO AND VOCAL	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	KLEIGH		0:04:26	64.0	Singer Songwriter	YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
553	gpm_stl.csv	175178456	BE TRUSTWORTHY - Male 1	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:04:28			YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
554	gpm_stl.csv	175178759	BETWEEN THE EARS - Male	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Male	0:02:57	100.0	Alt Country	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
558	gpm_stl.csv	175179989	COME AS YOU ARE - COVER - Reimagined - 90bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:01			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
559	gpm_stl.csv	175180206	COME DANCE (INSTRO) 70bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:57			YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
560	gpm_stl.csv	175180207	COME DANCE - 99bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:51			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
561	gpm_stl.csv	175180465	I'm Coming Home - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Caught Off Guard	0:03:02	85.0	Cinematic	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE
562	gpm_stl.csv	175180466	I LIVE FREE - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	- CRAZY, MOTION, DRIVE, AGGRESSIVE, MOTION, CONQUEST, OVERCOME, VICTORY, TEAMWORK, GOAL, EFFORT, COLLABORATION	0:02:31	130.0	Pop	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE
567	gpm_stl.csv	175181062	ME N' MY GUITAR	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	- AD, FILM RUSTIC, WOODSY, WANDERLUST, TOMORROW, SAD, LONGING, DESTINY, EMPTY, OPEN, UNSURE, STRONH, CLEAR, GROUNDED	0:03:21	117.0	Cont Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
568	gpm_stl.csv	175181291	Hurry Up n' Wait	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Chris Krause	Change Me	0:02:58	151.0	Americana	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
569	gpm_stl.csv	175181303	EV'RYBODY FEELS THE RAIN - 96bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:11			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
570	gpm_stl.csv	175181307	EV'RYBODY FEELS THE RAIN -  INSTRO - 96bpm - EbMajor	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:11			YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
572	gpm_stl.csv	175181527	EYES TELL IT ALL - 82bpm - F#minor	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:04:50			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
574	gpm_stl.csv	175181608	FAR AWAY FROM HERE -  INSTRO 140bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:02:45			YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
576	gpm_stl.csv	175183116	GOOD 2B HOME - INSTRO 65bpm GMajor	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:09		Abstract	YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
577	gpm_stl.csv	175183117	GOOD 2B HOME - 65bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:09			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
585	gpm_stl.csv	180077148	Kleigh - Forget You BflatMaj 62BPM PROD MASTER	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Kleigh		0:03:56	62.0		YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
586	gpm_stl.csv	181313219	Kleigh - Down (PROD) - 69BPM Fmaj VER 3 Energy Chorus Master.wav	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Kleigh		0:04:24	69.0		YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
